feature_a_id	feature_b_id	feature_a_name	feature_b_name	feature_b_dataset	ks_distance
46	72	proteomics_47	proteomics_73	random.realistic.proteomics	0.054066666666666666
71	108	proteomics_72	metagenomics_9	random.realistic.metagenomics	-0.0536
58	88	proteomics_59	proteomics_89	random.realistic.proteomics	0.053599999999999995
11	56	proteomics_12	proteomics_57	random.realistic.proteomics	0.05346666666666666
5	80	proteomics_6	proteomics_81	random.realistic.proteomics	-0.05333333333333333
80	5	proteomics_81	proteomics_6	random.realistic.proteomics	-0.05333333333333333
5	16	proteomics_6	proteomics_17	random.realistic.proteomics	-0.05333333333333333
96	83	proteomics_97	proteomics_84	random.realistic.proteomics	-0.0532
59	19	proteomics_60	proteomics_20	random.realistic.proteomics	0.05313333333333334
7	39	proteomics_8	proteomics_40	random.realistic.proteomics	-0.053066666666666665
34	141	proteomics_35	metagenomics_42	random.realistic.metagenomics	0.053066666666666665
88	58	proteomics_89	proteomics_59	random.realistic.proteomics	0.053066666666666665
49	3	proteomics_50	proteomics_4	random.realistic.proteomics	0.053000000000000005
2	10	proteomics_3	proteomics_11	random.realistic.proteomics	0.0528
11	78	proteomics_12	proteomics_79	random.realistic.proteomics	0.0528
58	117	proteomics_59	metagenomics_18	random.realistic.metagenomics	-0.05266666666666667
32	93	proteomics_33	proteomics_94	random.realistic.proteomics	0.0526
71	147	proteomics_72	metagenomics_48	random.realistic.metagenomics	-0.052533333333333335
59	56	proteomics_60	proteomics_57	random.realistic.proteomics	-0.05246666666666666
37	97	proteomics_38	proteomics_98	random.realistic.proteomics	-0.05246666666666666
99	94	proteomics_100	proteomics_95	random.realistic.proteomics	0.052333333333333336
49	53	proteomics_50	proteomics_54	random.realistic.proteomics	0.05233333333333333
73	108	proteomics_74	metagenomics_9	random.realistic.metagenomics	0.052066666666666664
68	41	proteomics_69	proteomics_42	random.realistic.proteomics	0.05193333333333333
64	30	proteomics_65	proteomics_31	random.realistic.proteomics	0.05193333333333333
12	105	proteomics_13	metagenomics_6	random.realistic.metagenomics	-0.05186666666666667
90	89	proteomics_91	proteomics_90	random.realistic.proteomics	0.0518
27	14	proteomics_28	proteomics_15	random.realistic.proteomics	-0.0516
16	5	proteomics_17	proteomics_6	random.realistic.proteomics	-0.0516
53	139	proteomics_54	metagenomics_40	random.realistic.metagenomics	-0.05146666666666667
98	145	proteomics_99	metagenomics_46	random.realistic.metagenomics	-0.0514
55	65	proteomics_56	proteomics_66	random.realistic.proteomics	0.05126666666666667
59	46	proteomics_60	proteomics_47	random.realistic.proteomics	-0.051199999999999996
24	126	proteomics_25	metagenomics_27	random.realistic.metagenomics	0.05106666666666666
43	146	proteomics_44	metagenomics_47	random.realistic.metagenomics	-0.050866666666666664
96	38	proteomics_97	proteomics_39	random.realistic.proteomics	0.050866666666666664
24	106	proteomics_25	metagenomics_7	random.realistic.metagenomics	-0.0508
15	51	proteomics_16	proteomics_52	random.realistic.proteomics	-0.0508
27	130	proteomics_28	metagenomics_31	random.realistic.metagenomics	-0.0508
14	27	proteomics_15	proteomics_28	random.realistic.proteomics	-0.05073333333333334
22	67	proteomics_23	proteomics_68	random.realistic.proteomics	0.05073333333333333
63	33	proteomics_64	proteomics_34	random.realistic.proteomics	0.050600000000000006
6	92	proteomics_7	proteomics_93	random.realistic.proteomics	-0.0506
88	3	proteomics_89	proteomics_4	random.realistic.proteomics	0.0504
14	56	proteomics_15	proteomics_57	random.realistic.proteomics	0.0504
41	139	proteomics_42	metagenomics_40	random.realistic.metagenomics	-0.0504
30	64	proteomics_31	proteomics_65	random.realistic.proteomics	0.05026666666666667
16	25	proteomics_17	proteomics_26	random.realistic.proteomics	-0.0502
13	111	proteomics_14	metagenomics_12	random.realistic.metagenomics	-0.050199999999999995
67	114	proteomics_68	metagenomics_15	random.realistic.metagenomics	0.050133333333333335
38	29	proteomics_39	proteomics_30	random.realistic.proteomics	-0.04993333333333333
42	145	proteomics_43	metagenomics_46	random.realistic.metagenomics	0.04993333333333333
16	123	proteomics_17	metagenomics_24	random.realistic.metagenomics	0.0498
94	115	proteomics_95	metagenomics_16	random.realistic.metagenomics	-0.049666666666666665
18	93	proteomics_19	proteomics_94	random.realistic.proteomics	-0.0496
56	77	proteomics_57	proteomics_78	random.realistic.proteomics	0.04953333333333333
26	19	proteomics_27	proteomics_20	random.realistic.proteomics	0.049466666666666666
40	67	proteomics_41	proteomics_68	random.realistic.proteomics	0.04933333333333333
8	130	proteomics_9	metagenomics_31	random.realistic.metagenomics	0.04933333333333333
97	133	proteomics_98	metagenomics_34	random.realistic.metagenomics	0.04906666666666667
83	96	proteomics_84	proteomics_97	random.realistic.proteomics	-0.048933333333333336
46	59	proteomics_47	proteomics_60	random.realistic.proteomics	-0.04893333333333333
84	114	proteomics_85	metagenomics_15	random.realistic.metagenomics	-0.04853333333333333
69	123	proteomics_70	metagenomics_24	random.realistic.metagenomics	0.04833333333333333
72	44	proteomics_73	proteomics_45	random.realistic.proteomics	0.04833333333333333
90	120	proteomics_91	metagenomics_21	random.realistic.metagenomics	-0.04833333333333333
49	102	proteomics_50	metagenomics_3	random.realistic.metagenomics	0.048266666666666666
38	36	proteomics_39	proteomics_37	random.realistic.proteomics	0.047933333333333335
61	79	proteomics_62	proteomics_80	random.realistic.proteomics	0.04786666666666667
51	62	proteomics_52	proteomics_63	random.realistic.proteomics	-0.047799999999999995
34	112	proteomics_35	metagenomics_13	random.realistic.metagenomics	-0.047799999999999995
43	111	proteomics_44	metagenomics_12	random.realistic.metagenomics	-0.04766666666666666
84	85	proteomics_85	proteomics_86	random.realistic.proteomics	-0.0476
36	38	proteomics_37	proteomics_39	random.realistic.proteomics	0.04746666666666667
9	1	proteomics_10	proteomics_2	random.realistic.proteomics	-0.04746666666666667
35	9	proteomics_36	proteomics_10	random.realistic.proteomics	-0.0474
99	0	proteomics_100	proteomics_1	random.realistic.proteomics	0.0474
42	1	proteomics_43	proteomics_2	random.realistic.proteomics	-0.0474
97	37	proteomics_98	proteomics_38	random.realistic.proteomics	-0.0474
5	84	proteomics_6	proteomics_85	random.realistic.proteomics	0.047266666666666665
65	42	proteomics_66	proteomics_43	random.realistic.proteomics	0.0472
73	30	proteomics_74	proteomics_31	random.realistic.proteomics	0.04713333333333333
6	101	proteomics_7	metagenomics_2	random.realistic.metagenomics	0.04713333333333333
26	147	proteomics_27	metagenomics_48	random.realistic.metagenomics	0.04713333333333333
83	70	proteomics_84	proteomics_71	random.realistic.proteomics	0.047066666666666666
92	37	proteomics_93	proteomics_38	random.realistic.proteomics	-0.047
19	26	proteomics_20	proteomics_27	random.realistic.proteomics	0.047
24	41	proteomics_25	proteomics_42	random.realistic.proteomics	-0.046933333333333334
12	83	proteomics_13	proteomics_84	random.realistic.proteomics	0.04686666666666667
84	5	proteomics_85	proteomics_6	random.realistic.proteomics	0.04686666666666667
82	101	proteomics_83	metagenomics_2	random.realistic.metagenomics	0.046733333333333335
89	123	proteomics_90	metagenomics_24	random.realistic.metagenomics	0.04666666666666667
65	98	proteomics_66	proteomics_99	random.realistic.proteomics	-0.0466
70	83	proteomics_71	proteomics_84	random.realistic.proteomics	0.04646666666666667
61	145	proteomics_62	metagenomics_46	random.realistic.metagenomics	0.0464
73	92	proteomics_74	proteomics_93	random.realistic.proteomics	0.0464
34	6	proteomics_35	proteomics_7	random.realistic.proteomics	0.0464
16	90	proteomics_17	proteomics_91	random.realistic.proteomics	0.04633333333333334
26	108	proteomics_27	metagenomics_9	random.realistic.metagenomics	0.046266666666666664
53	49	proteomics_54	proteomics_50	random.realistic.proteomics	0.04613333333333333
67	84	proteomics_68	proteomics_85	random.realistic.proteomics	0.046
43	76	proteomics_44	proteomics_77	random.realistic.proteomics	0.04593333333333333
97	3	proteomics_98	proteomics_4	random.realistic.proteomics	0.04586666666666667
51	15	proteomics_52	proteomics_16	random.realistic.proteomics	-0.0458
89	52	proteomics_90	proteomics_53	random.realistic.proteomics	0.045733333333333334
8	89	proteomics_9	proteomics_90	random.realistic.proteomics	0.045733333333333334
67	40	proteomics_68	proteomics_41	random.realistic.proteomics	0.045733333333333334
87	13	proteomics_88	proteomics_14	random.realistic.proteomics	-0.0456
72	136	proteomics_73	metagenomics_37	random.realistic.metagenomics	-0.04546666666666667
