sample	random.continuous_basic.proteomics	random.continuous_basic.metagenomics
915	0.39942104	0.5614768
916	0.5939602	0.72629064
917	0.25186104	0.7625536
918	0.74133444	0.96394986
919	-0.03883328	0.6379638
920	0.8068646	0.68455637
921	0.3795751	0.6892334
922	0.72406876	-0.03511637
923	0.39544636	0.7786001
924	0.13177341	0.62024045
925	-0.11474834	0.6493132
926	0.73473305	0.7725252
927	0.50628406	0.73135394
928	0.029777557	0.432888
929	0.3972132	0.74032146
930	0.76588595	0.74224347
931	0.1347385	0.5361453
932	0.65508664	0.7940659
933	0.35208452	0.80060697
934	0.13811018	0.2638656
935	0.7144285	0.660373
936	-0.21279496	0.8585049
937	0.49807358	0.4638845
938	0.7892486	0.4358874
939	0.7621352	0.71483135
940	0.8893934	0.90004086
941	0.5834532	0.629735
942	0.47116944	0.9811282
943	0.33127227	0.95189327
944	0.29947817	0.17768778
945	-0.02467177	0.68203914
946	0.87323385	0.7710408
947	0.93564624	0.5785086
948	0.8187636	0.83032095
949	0.52860093	0.6577422
950	0.21618243	0.72695166
951	0.37570542	0.42646396
952	0.29523948	0.5111454
953	-0.15283225	0.83336955
954	0.9540139	0.7879085
955	0.87422454	-0.0005088371
956	0.7961032	0.8025619
957	0.3292925	0.57803696
958	0.6336425	0.52089953
959	0.49025956	0.88811415
960	0.8639548	0.928537
961	0.64457107	0.586093
962	0.70987093	0.8577225
963	0.6968364	0.90727556
964	-0.42275864	0.6173068
965	0.06673398	0.75412965
966	-0.3519399	0.82073677
967	0.5801692	0.64502597
968	0.25973594	0.010527598
969	0.55183786	0.69762707
970	0.37405825	0.84500027
971	0.7840705	0.71827596
972	0.5842045	0.79718924
973	0.6439004	0.54015625
974	0.5675316	0.7161626
975	0.8077467	0.63686687
976	0.67235106	0.56378627
977	0.2728919	0.71771175
978	-0.20148227	0.83216685
979	0.5858891	0.4282466
980	0.8695859	0.776243
981	0.42056152	0.6917119
982	0.1452794	0.5969951
983	0.44872624	0.3431568
984	0.68751866	0.54104143
985	-0.24453714	0.5699624
986	0.37250504	0.5857521
987	0.56917363	0.47179675
